CVE_BIEN_JURIDICO,BIEN_JURIDICO,CVE_TIPO,TIPO,CVE_SUBTIPO,SUBTIPO,CVE_MODALIDAD,MODALIDAD,PRIORITARIOS,DELITO_PRIOR
1,La vida y la Integridad corporal,101,Homicidio,10101,Homicidio doloso,101011,Con arma de fuego,1,Homicidio doloso
1,La vida y la Integridad corporal,101,Homicidio,10101,Homicidio doloso,101012,Con arma blanca,1,Homicidio doloso
1,La vida y la Integridad corporal,101,Homicidio,10101,Homicidio doloso,101013,Con otro elemento,1,Homicidio doloso
1,La vida y la Integridad corporal,101,Homicidio,10101,Homicidio doloso,101014,No especificado,1,Homicidio doloso
1,La vida y la Integridad corporal,101,Homicidio,10102,Homicidio culposo,101021,Con arma de fuego,0,No prioritario
1,La vida y la Integridad corporal,101,Homicidio,10102,Homicidio culposo,101022,Con arma blanca,0,No prioritario
1,La vida y la Integridad corporal,101,Homicidio,10102,Homicidio culposo,101023,En accidente de tránsito,0,No prioritario
1,La vida y la Integridad corporal,101,Homicidio,10102,Homicidio culposo,101024,Con otro elemento,0,No prioritario
1,La vida y la Integridad corporal,101,Homicidio,10102,Homicidio culposo,101025,No especificado,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10201,Lesiones dolosas,102011,Con arma de fuego,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10201,Lesiones dolosas,102012,Con arma blanca,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10201,Lesiones dolosas,102013,Con otro elemento,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10201,Lesiones dolosas,102014,No especificado,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10202,Lesiones culposas,102021,Con arma de fuego,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10202,Lesiones culposas,102022,Con arma blanca,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10202,Lesiones culposas,102023,En accidente de tránsito,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10202,Lesiones culposas,102024,Con otro elemento,0,No prioritario
1,La vida y la Integridad corporal,102,Lesiones,10202,Lesiones culposas,102025,No especificado,0,No prioritario
1,La vida y la Integridad corporal,103,Feminicidio,10301,Feminicidio,103011,Con arma de fuego,2,Feminicidio
1,La vida y la Integridad corporal,103,Feminicidio,10301,Feminicidio,103012,Con arma blanca,2,Feminicidio
1,La vida y la Integridad corporal,103,Feminicidio,10301,Feminicidio,103013,Con otro elemento,2,Feminicidio
1,La vida y la Integridad corporal,103,Feminicidio,10301,Feminicidio,103014,No especificado,2,Feminicidio
1,La vida y la Integridad corporal,104,Aborto,10401,Aborto,104011,Aborto,0,No prioritario
1,La vida y la Integridad corporal,105,Otros delitos que atentan contra la vida y la integridad corporal,10501,Otros delitos que atentan contra la vida y la integridad corporal,105011,Otros delitos que atentan contra la vida y la integridad corporal,0,No prioritario
2,Libertad personal,201,Secuestro,20101,Secuestro,201011,Secuestro extorsivo,3,Secuestro
2,Libertad personal,201,Secuestro,20101,Secuestro,201012,Secuestro con calidad de rehén,3,Secuestro
2,Libertad personal,201,Secuestro,20101,Secuestro,201013,Secuestro para causar daño,3,Secuestro
2,Libertad personal,201,Secuestro,20101,Secuestro,201014,Secuestro exprés,3,Secuestro
2,Libertad personal,201,Secuestro,20101,Secuestro,201015,Otro tipo de secuestros,3,Secuestro
2,Libertad personal,202,Tráfico de menores,20201,Tráfico de menores,202011,Tráfico de menores,0,No prioritario
2,Libertad personal,203,Rapto,20301,Rapto,203011,Rapto,0,No prioritario
2,Libertad personal,204,Otros delitos que atentan contra la libertad personal,20401,Otros delitos que atentan contra la libertad personal,204011,Otros delitos que atentan contra la libertad personal,0,No prioritario
3,La libertad y la seguridad sexual,301,Abuso sexual,30101,Abuso sexual,301011,Abuso sexual,0,No prioritario
3,La libertad y la seguridad sexual,302,Acoso sexual,30201,Acoso sexual,302011,Acoso sexual,0,No prioritario
3,La libertad y la seguridad sexual,303,Hostigamiento sexual,30301,Hostigamiento sexual,303011,Hostigamiento sexual,0,No prioritario
3,La libertad y la seguridad sexual,304,Violación simple,30401,Violación simple,304011,Violación simple,0,No prioritario
3,La libertad y la seguridad sexual,305,Violación equiparada,30501,Violación equiparada,305011,Violación equiparada,0,No prioritario
3,La libertad y la seguridad sexual,306,Incesto,30601,Incesto,306011,Incesto,0,No prioritario
3,La libertad y la seguridad sexual,307,Otros delitos que atentan contra la libertad y la seguridad sexual,30701,Otros delitos que atentan contra la libertad y la seguridad sexual,307011,Otros delitos que atentan contra la libertad y la seguridad sexual,0,No prioritario
4,El patrimonio,401,Robo,40101,Robo a casa habitación,401011,Con violencia,5,Robo a casa habitación
4,El patrimonio,401,Robo,40101,Robo a casa habitación,401012,Sin violencia,5,Robo a casa habitación
4,El patrimonio,401,Robo,40102,Robo de vehículo automotor,401021,Robo de coche de 4 ruedas Con violencia,6,Robo de vehículo
4,El patrimonio,401,Robo,40102,Robo de vehículo automotor,401022,Robo de coche de 4 ruedas Sin violencia,6,Robo de vehículo
4,El patrimonio,401,Robo,40102,Robo de vehículo automotor,401023,Robo de motocicleta Con violencia,6,Robo de vehículo
4,El patrimonio,401,Robo,40102,Robo de vehículo automotor,401024,Robo de motocicleta Sin violencia,6,Robo de vehículo
4,El patrimonio,401,Robo,40102,Robo de vehículo automotor,401025,Robo de embarcaciones pequeñas y grandes Con violencia,6,Robo de vehículo
4,El patrimonio,401,Robo,40102,Robo de vehículo automotor,401026,Robo de embarcaciones pequeñas y grandes Sin violencia,6,Robo de vehículo
4,El patrimonio,401,Robo,40103,Robo de autopartes,401031,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40103,Robo de autopartes,401032,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40104,Robo a transportista,401041,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40104,Robo a transportista,401042,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40105,Robo a transeúnte en vía pública,401051,Con violencia,7,Robo a transeúnte
4,El patrimonio,401,Robo,40105,Robo a transeúnte en vía pública,401052,Sin violencia,7,Robo a transeúnte
4,El patrimonio,401,Robo,40106,Robo a transeúnte en espacio abierto al público,401061,Con violencia,7,Robo a transeúnte
4,El patrimonio,401,Robo,40106,Robo a transeúnte en espacio abierto al público,401062,Sin violencia,7,Robo a transeúnte
4,El patrimonio,401,Robo,40107,Robo en transporte público colectivo,401071,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40107,Robo en transporte público colectivo,401072,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40108,Robo en transporte individual,401081,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40108,Robo en transporte individual,401082,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40109,Robo en transporte público individual,401091,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40109,Robo en transporte público individual,401092,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40110,Robo a institución bancaria,401101,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40110,Robo a institución bancaria,401102,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40111,Robo a negocio,401111,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40111,Robo a negocio,401112,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40112,Robo de ganado,401121,Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40112,Robo de ganado,401122,Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40113,Robo de maquinaria,401131,Robo de herramienta industrial o agrícola Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40113,Robo de maquinaria,401132,Robo de herramienta industrial o agrícola Sin violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40113,Robo de maquinaria,401133,Robo de tractores Con violencia,8,Resto de los robos
4,El patrimonio,401,Robo,40113,Robo de maquinaria,401134,Robo de tractores Sin violencia,8,Resto de los robos
