CAT_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_INEGI
1,Aguascalientes,Ags,1,Aguascalientes,1001
1,Aguascalientes,Ags,2,Asientos,1002
1,Aguascalientes,Ags,3,Calvillo,1003
1,Aguascalientes,Ags,4,Cosío,1004
1,Aguascalientes,Ags,5,Jesús María,1005
1,Aguascalientes,Ags,6,Pabellón de Arteaga,1006
1,Aguascalientes,Ags,7,Rincón de Romos,1007
1,Aguascalientes,Ags,8,San José de Gracia,1008
1,Aguascalientes,Ags,9,Tepezalá,1009
1,Aguascalientes,Ags,10,El Llano,1010
1,Aguascalientes,Ags,11,San Francisco de los Romo,1011
2,Baja California,BC,1,Ensenada,2001
2,Baja California,BC,2,Mexicali,2002
2,Baja California,BC,3,Tecate,2003
2,Baja California,BC,4,Tijuana,2004
2,Baja California,BC,5,Playas de Rosarito,2005
2,Baja California,BC,6,San Quintín,2006
2,Baja California,BC,7,San Felipe,2007
3,Baja California Sur,BCS,1,Comondú,3001
3,Baja California Sur,BCS,2,Mulegé,3002
3,Baja California Sur,BCS,3,La Paz,3003
3,Baja California Sur,BCS,8,Los Cabos,3008
3,Baja California Sur,BCS,9,Loreto,3009
4,Campeche,Camp,1,Calkiní,4001
4,Campeche,Camp,2,Campeche,4002
4,Campeche,Camp,3,Carmen,4003
4,Campeche,Camp,4,Champotón,4004
4,Campeche,Camp,5,Hecelchakán,4005
4,Campeche,Camp,6,Hopelchén,4006
4,Campeche,Camp,7,Palizada,4007
4,Campeche,Camp,8,Tenabo,4008
4,Campeche,Camp,9,Escárcega,4009
4,Campeche,Camp,10,Calakmul,4010
4,Campeche,Camp,11,Candelaria,4011
4,Campeche,Camp,12,Seybaplaya,4012
4,Campeche,Camp,13,Dzitbalché,4013
5,Coahuila de Zaragoza,Coah,1,Abasolo,5001
5,Coahuila de Zaragoza,Coah,2,Acuña,5002
5,Coahuila de Zaragoza,Coah,3,Allende,5003
5,Coahuila de Zaragoza,Coah,4,Arteaga,5004
5,Coahuila de Zaragoza,Coah,5,Candela,5005
5,Coahuila de Zaragoza,Coah,6,Castaños,5006
5,Coahuila de Zaragoza,Coah,7,Cuatro Ciénegas,5007
5,Coahuila de Zaragoza,Coah,8,Escobedo,5008
5,Coahuila de Zaragoza,Coah,9,Francisco I. Madero,5009
5,Coahuila de Zaragoza,Coah,10,Frontera,5010
5,Coahuila de Zaragoza,Coah,11,General Cepeda,5011
5,Coahuila de Zaragoza,Coah,12,Guerrero,5012
5,Coahuila de Zaragoza,Coah,13,Hidalgo,5013
5,Coahuila de Zaragoza,Coah,14,Jiménez,5014
5,Coahuila de Zaragoza,Coah,15,Juárez,5015
5,Coahuila de Zaragoza,Coah,16,Lamadrid,5016
5,Coahuila de Zaragoza,Coah,17,Matamoros,5017
5,Coahuila de Zaragoza,Coah,18,Monclova,5018
5,Coahuila de Zaragoza,Coah,19,Morelos,5019
5,Coahuila de Zaragoza,Coah,20,Múzquiz,5020
5,Coahuila de Zaragoza,Coah,21,Nadadores,5021
5,Coahuila de Zaragoza,Coah,22,Nava,5022
5,Coahuila de Zaragoza,Coah,23,Ocampo,5023
5,Coahuila de Zaragoza,Coah,24,Parras,5024
5,Coahuila de Zaragoza,Coah,25,Piedras Negras,5025
5,Coahuila de Zaragoza,Coah,26,Progreso,5026
5,Coahuila de Zaragoza,Coah,27,Ramos Arizpe,5027
5,Coahuila de Zaragoza,Coah,28,Sabinas,5028
5,Coahuila de Zaragoza,Coah,29,Sacramento,5029
5,Coahuila de Zaragoza,Coah,30,Saltillo,5030
5,Coahuila de Zaragoza,Coah,31,San Buenaventura,5031
5,Coahuila de Zaragoza,Coah,32,San Juan de Sabinas,5032
5,Coahuila de Zaragoza,Coah,33,San Pedro,5033
5,Coahuila de Zaragoza,Coah,34,Sierra Mojada,5034
5,Coahuila de Zaragoza,Coah,35,Torreón,5035
5,Coahuila de Zaragoza,Coah,36,Viesca,5036
5,Coahuila de Zaragoza,Coah,37,Villa Unión,5037
5,Coahuila de Zaragoza,Coah,38,Zaragoza,5038
6,Colima,Col,1,Armería,6001
6,Colima,Col,2,Colima,6002
6,Colima,Col,3,Comala,6003
6,Colima,Col,4,Coquimatlán,6004
6,Colima,Col,5,Cuauhtémoc,6005
6,Colima,Col,6,Ixtlahuacán,6006
6,Colima,Col,7,Manzanillo,6007
6,Colima,Col,8,Minatitlán,6008
6,Colima,Col,9,Tecomán,6009
6,Colima,Col,10,Villa de Álvarez,6010
7,Chiapas,Chis,1,Acacoyagua,7001
7,Chiapas,Chis,2,Acala,7002
7,Chiapas,Chis,3,Acapetahua,7003
7,Chiapas,Chis,4,Altamirano,7004
7,Chiapas,Chis,5,Amatán,7005
7,Chiapas,Chis,6,Amatenango de la Frontera,7006
7,Chiapas,Chis,7,Amatenango del Valle,7007
7,Chiapas,Chis,8,Ángel Albino Corzo,7008
7,Chiapas,Chis,9,Arriaga,7009
7,Chiapas,Chis,10,Bejucal de Ocampo,7010
7,Chiapas,Chis,11,Bella Vista,7011
7,Chiapas,Chis,12,Berriozábal,7012
7,Chiapas,Chis,13,Bochil,7013
7,Chiapas,Chis,14,El Bosque,7014
7,Chiapas,Chis,15,Cacahoatán,7015
7,Chiapas,Chis,16,Catazajá,7016
7,Chiapas,Chis,17,Cintalapa de Figueroa,7017
7,Chiapas,Chis,18,Coapilla,7018
7,Chiapas,Chis,19,Comitán de Domínguez,7019
7,Chiapas,Chis,20,La Concordia,7020
7,Chiapas,Chis,21,Copainalá,7021
7,Chiapas,Chis,22,Chalchihuitán,7022
7,Chiapas,Chis,23,Chamula,7023
7,Chiapas,Chis,24,Chanal,7024
7,Chiapas,Chis,25,Chapultenango,7025
7,Chiapas,Chis,26,Chenalhó,7026
7,Chiapas,Chis,27,Chiapa de Corzo,7027
7,Chiapas,Chis,28,Chiapilla,7028
7,Chiapas,Chis,29,Chicoasén,7029
7,Chiapas,Chis,30,Chicomuselo,7030
7,Chiapas,Chis,31,Chilón,7031
7,Chiapas,Chis,32,Escuintla,7032
7,Chiapas,Chis,33,Francisco León,7033
7,Chiapas,Chis,34,Frontera Comalapa,7034
7,Chiapas,Chis,35,Frontera Hidalgo,7035
7,Chiapas,Chis,36,La Grandeza,7036
7,Chiapas,Chis,37,Huehuetán,7037
7,Chiapas,Chis,38,Huixtán,7038
7,Chiapas,Chis,39,Huitiupán,7039
7,Chiapas,Chis,40,Huixtla,7040
7,Chiapas,Chis,41,La Independencia,7041
7,Chiapas,Chis,42,Ixhuatán,7042
7,Chiapas,Chis,43,Ixtacomitán,7043
7,Chiapas,Chis,44,Ixtapa,7044
7,Chiapas,Chis,45,Ixtapangajoya,7045
7,Chiapas,Chis,46,Jiquipilas,7046
7,Chiapas,Chis,47,Jitotol,7047
7,Chiapas,Chis,48,Juárez,7048
7,Chiapas,Chis,49,Larráinzar,7049
7,Chiapas,Chis,50,La Libertad,7050
7,Chiapas,Chis,51,Mapastepec,7051
7,Chiapas,Chis,52,Las Margaritas,7052
7,Chiapas,Chis,53,Mazapa de Madero,7053
7,Chiapas,Chis,54,Mazatán,7054
7,Chiapas,Chis,55,Metapa,7055
7,Chiapas,Chis,56,Mitontic,7056
7,Chiapas,Chis,57,Motozintla,7057
7,Chiapas,Chis,58,Nicolás Ruíz,7058
7,Chiapas,Chis,59,Ocosingo,7059
7,Chiapas,Chis,60,Ocotepec,7060
7,Chiapas,Chis,61,Ocozocoautla de Espinosa,7061
7,Chiapas,Chis,62,Ostuacán,7062
7,Chiapas,Chis,63,Osumacinta,7063
7,Chiapas,Chis,64,Oxchuc,7064
7,Chiapas,Chis,65,Palenque,7065
7,Chiapas,Chis,66,Pantelhó,7066
7,Chiapas,Chis,67,Pantepec,7067
7,Chiapas,Chis,68,Pichucalco,7068
7,Chiapas,Chis,69,Pijijiapan,7069
7,Chiapas,Chis,70,El Porvenir,7070
7,Chiapas,Chis,71,Villa Comaltitlán,7071
7,Chiapas,Chis,72,Pueblo Nuevo Solistahuacán,7072
7,Chiapas,Chis,73,Rayón,7073
7,Chiapas,Chis,74,Reforma,7074
7,Chiapas,Chis,75,Las Rosas,7075
7,Chiapas,Chis,76,Sabanilla,7076
7,Chiapas,Chis,77,Salto de Agua,7077
7,Chiapas,Chis,78,San Cristóbal de las Casas,7078
7,Chiapas,Chis,79,San Fernando,7079
7,Chiapas,Chis,80,Siltepec,7080
7,Chiapas,Chis,81,Simojovel,7081
7,Chiapas,Chis,82,Sitalá,7082
7,Chiapas,Chis,83,Socoltenango,7083
7,Chiapas,Chis,84,Solosuchiapa,7084
7,Chiapas,Chis,85,Soyaló,7085
7,Chiapas,Chis,86,Suchiapa,7086
7,Chiapas,Chis,87,Suchiate,7087
7,Chiapas,Chis,88,Sunuapa,7088
7,Chiapas,Chis,89,Tapachula,7089
7,Chiapas,Chis,90,Tapalapa,7090
7,Chiapas,Chis,91,Tapilula,7091
7,Chiapas,Chis,92,Tecpatán,7092
7,Chiapas,Chis,93,Tenejapa,7093
7,Chiapas,Chis,94,Teopisca,7094
7,Chiapas,Chis,96,Tila,7096
7,Chiapas,Chis,97,Tonalá,7097
7,Chiapas,Chis,98,Totolapa,7098
7,Chiapas,Chis,99,La Trinitaria,7099
7,Chiapas,Chis,100,Tumbalá,7100
7,Chiapas,Chis,101,Tuxtla Gutiérrez,7101
7,Chiapas,Chis,102,Tuxtla Chico,7102
7,Chiapas,Chis,103,Tuzantán,7103
7,Chiapas,Chis,104,Tzimol,7104
7,Chiapas,Chis,105,Unión Juárez,7105
7,Chiapas,Chis,106,Venustiano Carranza,7106
7,Chiapas,Chis,107,Villa Corzo,7107
7,Chiapas,Chis,108,Villaflores,7108
7,Chiapas,Chis,109,Yajalón,7109
7,Chiapas,Chis,110,San Lucas,7110
7,Chiapas,Chis,111,Zinacantán,7111
7,Chiapas,Chis,112,San Juan Cancuc,7112
7,Chiapas,Chis,113,Aldama,7113
7,Chiapas,Chis,114,Benemérito de las Américas,7114
7,Chiapas,Chis,115,Maravilla Tenejapa,7115
7,Chiapas,Chis,116,Marqués de Comillas,7116
7,Chiapas,Chis,117,Montecristo de Guerrero,7117
7,Chiapas,Chis,118,San Andrés Duraznal,7118
7,Chiapas,Chis,119,Santiago el Pinar,7119
7,Chiapas,Chis,120,Capitán Luis Ángel Vidal,7120
7,Chiapas,Chis,121,Rincón Chamula San Pedro,7121
7,Chiapas,Chis,122,El Parral,7122
7,Chiapas,Chis,123,Emiliano Zapata,7123
7,Chiapas,Chis,124,Mezcalapa,7124
7,Chiapas,Chis,125,Honduras de la Sierra,7125
8,Chihuahua,Chih,1,Ahumada,8001
8,Chihuahua,Chih,2,Aldama,8002
8,Chihuahua,Chih,3,Allende,8003
8,Chihuahua,Chih,4,Aquiles Serdán,8004
8,Chihuahua,Chih,5,Ascensión,8005
8,Chihuahua,Chih,6,Bachíniva,8006
8,Chihuahua,Chih,7,Balleza,8007
8,Chihuahua,Chih,8,Batopilas de Manuel Gómez Morín,8008
8,Chihuahua,Chih,9,Bocoyna,8009
8,Chihuahua,Chih,10,Buenaventura,8010
8,Chihuahua,Chih,11,Camargo,8011
8,Chihuahua,Chih,12,Carichí,8012
8,Chihuahua,Chih,13,Casas Grandes,8013
8,Chihuahua,Chih,14,Coronado,8014
8,Chihuahua,Chih,15,Coyame del Sotol,8015
8,Chihuahua,Chih,16,La Cruz,8016
8,Chihuahua,Chih,17,Cuauhtémoc,8017
8,Chihuahua,Chih,18,Cusihuiriachi,8018
8,Chihuahua,Chih,19,Chihuahua,8019
8,Chihuahua,Chih,20,Chínipas,8020
8,Chihuahua,Chih,21,Delicias,8021
8,Chihuahua,Chih,22,Dr. Belisario Domínguez,8022
8,Chihuahua,Chih,23,Galeana,8023
8,Chihuahua,Chih,24,Santa Isabel,8024
8,Chihuahua,Chih,25,Gómez Farías,8025
8,Chihuahua,Chih,26,Gran Morelos,8026
8,Chihuahua,Chih,27,Guachochi,8027
8,Chihuahua,Chih,28,Guadalupe,8028
8,Chihuahua,Chih,29,Guadalupe y Calvo,8029
8,Chihuahua,Chih,30,Guazapares,8030
8,Chihuahua,Chih,31,Guerrero,8031
8,Chihuahua,Chih,32,Hidalgo del Parral,8032
8,Chihuahua,Chih,33,Huejotitán,8033
8,Chihuahua,Chih,34,Ignacio Zaragoza,8034
8,Chihuahua,Chih,35,Janos,8035
8,Chihuahua,Chih,36,Jiménez,8036
8,Chihuahua,Chih,37,Juárez,8037
8,Chihuahua,Chih,38,Julimes,8038
8,Chihuahua,Chih,39,López,8039
8,Chihuahua,Chih,40,Madera,8040
8,Chihuahua,Chih,41,Maguarichi,8041
8,Chihuahua,Chih,42,Manuel Benavides,8042
8,Chihuahua,Chih,43,Matachí,8043
8,Chihuahua,Chih,44,Matamoros,8044
8,Chihuahua,Chih,45,Meoqui,8045
8,Chihuahua,Chih,46,Morelos,8046
8,Chihuahua,Chih,47,Moris,8047
8,Chihuahua,Chih,48,Namiquipa,8048
8,Chihuahua,Chih,49,Nonoava,8049
8,Chihuahua,Chih,50,Nuevo Casas Grandes,8050
8,Chihuahua,Chih,51,Ocampo,8051
8,Chihuahua,Chih,52,Ojinaga,8052
8,Chihuahua,Chih,53,Praxedis G. Guerrero,8053
8,Chihuahua,Chih,54,Riva Palacio,8054
8,Chihuahua,Chih,55,Rosales,8055
8,Chihuahua,Chih,56,Rosario,8056
8,Chihuahua,Chih,57,San Francisco de Borja,8057
8,Chihuahua,Chih,58,San Francisco de Conchos,8058
8,Chihuahua,Chih,59,San Francisco del Oro,8059
8,Chihuahua,Chih,60,Santa Bárbara,8060
8,Chihuahua,Chih,61,Satevó,8061
8,Chihuahua,Chih,62,Saucillo,8062
8,Chihuahua,Chih,63,Temósachic,8063
8,Chihuahua,Chih,64,El Tule,8064
8,Chihuahua,Chih,65,Urique,8065
8,Chihuahua,Chih,66,Uruachi,8066
8,Chihuahua,Chih,67,Valle de Zaragoza,8067
9,Ciudad de México,CDMX,2,Azcapotzalco,9002
9,Ciudad de México,CDMX,3,Coyoacán,9003
9,Ciudad de México,CDMX,4,Cuajimalpa de Morelos,9004
9,Ciudad de México,CDMX,5,Gustavo A. Madero,9005
9,Ciudad de México,CDMX,6,Iztacalco,9006
9,Ciudad de México,CDMX,7,Iztapalapa,9007
9,Ciudad de México,CDMX,8,La Magdalena Contreras,9008
9,Ciudad de México,CDMX,9,Milpa Alta,9009
9,Ciudad de México,CDMX,10,Álvaro Obregón,9010
9,Ciudad de México,CDMX,11,Tláhuac,9011
9,Ciudad de México,CDMX,12,Tlalpan,9012
9,Ciudad de México,CDMX,13,Xochimilco,9013
9,Ciudad de México,CDMX,14,Benito Juárez,9014
9,Ciudad de México,CDMX,15,Cuauhtémoc,9015
9,Ciudad de México,CDMX,16,Miguel Hidalgo,9016
9,Ciudad de México,CDMX,17,Venustiano Carranza,9017
10,Durango,Dgo,1,Canatlán,10001
10,Durango,Dgo,2,Canelas,10002
10,Durango,Dgo,3,Coneto de Comonfort,10003
10,Durango,Dgo,4,Cuencamé,10004
10,Durango,Dgo,5,Durango,10005
10,Durango,Dgo,6,General Simón Bolívar,10006
10,Durango,Dgo,7,Gómez Palacio,10007
10,Durango,Dgo,8,Guadalupe Victoria,10008
10,Durango,Dgo,9,Guanaceví,10009
10,Durango,Dgo,10,Hidalgo,10010
10,Durango,Dgo,11,Indé,10011
10,Durango,Dgo,12,Lerdo,10012
10,Durango,Dgo,13,Mapimí,10013
10,Durango,Dgo,14,Mezquital,10014
10,Durango,Dgo,15,Nazas,10015
10,Durango,Dgo,16,Nombre de Dios,10016
10,Durango,Dgo,17,Ocampo,10017
10,Durango,Dgo,18,El Oro,10018
10,Durango,Dgo,19,Otáez,10019
10,Durango,Dgo,20,Pánuco de Coronado,10020
10,Durango,Dgo,21,Peñón Blanco,10021
10,Durango,Dgo,22,Poanas,10022
10,Durango,Dgo,23,Pueblo Nuevo,10023
10,Durango,Dgo,24,Rodeo,10024
10,Durango,Dgo,25,San Bernardo,10025
10,Durango,Dgo,26,San Dimas,10026
10,Durango,Dgo,27,San Juan de Guadalupe,10027
10,Durango,Dgo,28,San Juan del Río,10028
10,Durango,Dgo,29,San Luis del Cordero,10029
10,Durango,Dgo,30,San Pedro del Gallo,10030
10,Durango,Dgo,31,Santa Clara,10031
10,Durango,Dgo,32,Santiago Papasquiaro,10032
10,Durango,Dgo,33,Súchil,10033
10,Durango,Dgo,34,Tamazula,10034
10,Durango,Dgo,35,Tepehuanes,10035
10,Durango,Dgo,36,Tlahualilo,10036
10,Durango,Dgo,37,Topia,10037
10,Durango,Dgo,38,Vicente Guerrero,10038
10,Durango,Dgo,39,Nuevo Ideal,10039
11,Guanajuato,Gto,1,Abasolo,11001
11,Guanajuato,Gto,2,Acámbaro,11002
11,Guanajuato,Gto,3,San Miguel de Allende,11003
11,Guanajuato,Gto,4,Apaseo el Alto,11004
11,Guanajuato,Gto,5,Apaseo el Grande,11005
11,Guanajuato,Gto,6,Atarjea,11006
11,Guanajuato,Gto,7,Celaya,11007
11,Guanajuato,Gto,8,Manuel Doblado,11008
11,Guanajuato,Gto,9,Comonfort,11009
11,Guanajuato,Gto,10,Coroneo,11010
11,Guanajuato,Gto,11,Cortazar,11011
11,Guanajuato,Gto,12,Cuerámaro,11012
11,Guanajuato,Gto,13,Doctor Mora,11013
11,Guanajuato,Gto,14,Dolores Hidalgo Cuna de la Independencia Nacional,11014
11,Guanajuato,Gto,15,Guanajuato,11015
11,Guanajuato,Gto,16,Huanímaro,11016
11,Guanajuato,Gto,17,Irapuato,11017
11,Guanajuato,Gto,18,Jaral del Progreso,11018
11,Guanajuato,Gto,19,Jerécuaro,11019
11,Guanajuato,Gto,20,León,11020
11,Guanajuato,Gto,21,Moroleón,11021
11,Guanajuato,Gto,22,Ocampo,11022
11,Guanajuato,Gto,23,Pénjamo,11023
11,Guanajuato,Gto,24,Pueblo Nuevo,11024
11,Guanajuato,Gto,25,Purísima del Rincón,11025
11,Guanajuato,Gto,26,Romita,11026
11,Guanajuato,Gto,27,Salamanca,11027
11,Guanajuato,Gto,28,Salvatierra,11028
11,Guanajuato,Gto,29,San Diego de la Unión,11029
11,Guanajuato,Gto,30,San Felipe,11030
11,Guanajuato,Gto,31,San Francisco del Rincón,11031
11,Guanajuato,Gto,32,San José Iturbide,11032
11,Guanajuato,Gto,33,San Luis de la Paz,11033
11,Guanajuato,Gto,34,Santa Catarina,11034
11,Guanajuato,Gto,35,Santa Cruz de Juventino Rosas,11035
11,Guanajuato,Gto,36,Santiago Maravatío,11036
11,Guanajuato,Gto,37,Silao de la Victoria,11037
11,Guanajuato,Gto,38,Tarandacuao,11038
11,Guanajuato,Gto,39,Tarimoro,11039
11,Guanajuato,Gto,40,Tierra Blanca,11040
11,Guanajuato,Gto,41,Uriangato,11041
11,Guanajuato,Gto,42,Valle de Santiago,11042
11,Guanajuato,Gto,43,Victoria,11043
11,Guanajuato,Gto,44,Villagrán,11044
11,Guanajuato,Gto,45,Xichú,11045
11,Guanajuato,Gto,46,Yuriria,11046
12,Guerrero,Gro,1,Acapulco de Juárez,12001
12,Guerrero,Gro,2,Ahuacuotzingo,12002
12,Guerrero,Gro,3,Ajuchitlán del Progreso,12003
12,Guerrero,Gro,4,Alcozauca de Guerrero,12004
12,Guerrero,Gro,5,Alpoyeca,12005
12,Guerrero,Gro,6,Apaxtla,12006
12,Guerrero,Gro,7,Arcelia,12007
12,Guerrero,Gro,8,Atenango del Río,12008
12,Guerrero,Gro,9,Atlamajalcingo del Monte,12009
12,Guerrero,Gro,10,Atlixtac,12010
12,Guerrero,Gro,11,Atoyac de Álvarez,12011
12,Guerrero,Gro,12,Ayutla de los Libres,12012
12,Guerrero,Gro,13,Azoyú,12013
12,Guerrero,Gro,14,Benito Juárez,12014
12,Guerrero,Gro,15,Buenavista de Cuéllar,12015
12,Guerrero,Gro,16,Coahuayutla de José María Izazaga,12016
12,Guerrero,Gro,17,Cocula,12017
12,Guerrero,Gro,18,Copala,12018
12,Guerrero,Gro,19,Copalillo,12019
12,Guerrero,Gro,20,Copanatoyac,12020
12,Guerrero,Gro,21,Coyuca de Benítez,12021
12,Guerrero,Gro,22,Coyuca de Catalán,12022
12,Guerrero,Gro,23,Cuajinicuilapa,12023
12,Guerrero,Gro,24,Cualác,12024
12,Guerrero,Gro,25,Cuautepec,12025
12,Guerrero,Gro,26,Cuetzala del Progreso,12026
12,Guerrero,Gro,27,Cutzamala de Pinzón,12027
12,Guerrero,Gro,28,Chilapa de Álvarez,12028
12,Guerrero,Gro,29,Chilpancingo de los Bravo,12029
12,Guerrero,Gro,30,Florencio Villarreal,12030
12,Guerrero,Gro,31,General Canuto A. Neri,12031
12,Guerrero,Gro,32,General Heliodoro Castillo,12032
12,Guerrero,Gro,33,Huamuxtitlán,12033
12,Guerrero,Gro,34,Huitzuco de los Figueroa,12034
12,Guerrero,Gro,35,Iguala de la Independencia,12035
12,Guerrero,Gro,36,Igualapa,12036
12,Guerrero,Gro,37,Ixcateopan de Cuauhtémoc,12037
12,Guerrero,Gro,38,Zihuatanejo de Azueta,12038
12,Guerrero,Gro,39,Juan R. Escudero,12039
12,Guerrero,Gro,40,Leonardo Bravo,12040
12,Guerrero,Gro,41,Malinaltepec,12041
12,Guerrero,Gro,42,Mártir de Cuilapan,12042
12,Guerrero,Gro,43,Metlatónoc,12043
12,Guerrero,Gro,44,Mochitlán,12044
12,Guerrero,Gro,45,Olinalá,12045
12,Guerrero,Gro,46,Ometepec,12046
12,Guerrero,Gro,47,Pedro Ascencio Alquisiras,12047
12,Guerrero,Gro,48,Petatlán,12048
12,Guerrero,Gro,49,Pilcaya,12049
12,Guerrero,Gro,50,Pungarabato,12050
12,Guerrero,Gro,51,Quechultenango,12051
12,Guerrero,Gro,52,San Luis Acatlán,12052
12,Guerrero,Gro,53,San Marcos,12053
12,Guerrero,Gro,54,San Miguel Totolapan,12054
12,Guerrero,Gro,55,Taxco de Alarcón,12055
12,Guerrero,Gro,56,Tecoanapa,12056
12,Guerrero,Gro,57,Técpan de Galeana,12057
12,Guerrero,Gro,58,Teloloapan,12058
12,Guerrero,Gro,59,Tepecoacuilco de Trujano,12059
12,Guerrero,Gro,60,Tetipac,12060
12,Guerrero,Gro,61,Tixtla de Guerrero,12061
12,Guerrero,Gro,62,Tlacoachistlahuaca,12062
12,Guerrero,Gro,63,Tlacoapa,12063
12,Guerrero,Gro,64,Tlalchapa,12064
12,Guerrero,Gro,65,Tlalixtaquilla de Maldonado,12065
12,Guerrero,Gro,66,Tlapa de Comonfort,12066
12,Guerrero,Gro,67,Tlapehuala,12067
12,Guerrero,Gro,68,La Unión de Isidoro Montes de Oca,12068
12,Guerrero,Gro,69,Xalpatláhuac,12069
12,Guerrero,Gro,70,Xochihuehuetlán,12070
12,Guerrero,Gro,71,Xochistlahuaca,12071
12,Guerrero,Gro,72,Zapotitlán Tablas,12072
12,Guerrero,Gro,73,Zirándaro,12073
12,Guerrero,Gro,74,Zitlala,12074
12,Guerrero,Gro,75,Eduardo Neri,12075
12,Guerrero,Gro,76,Acatepec,12076
12,Guerrero,Gro,77,Marquelia,12077
12,Guerrero,Gro,78,Cochoapa el Grande,12078
12,Guerrero,Gro,79,José Joaquín de Herrera,12079
12,Guerrero,Gro,80,Juchitán,12080
12,Guerrero,Gro,81,Iliatenco,12081
12,Guerrero,Gro,82,Las Vigas,12082
12,Guerrero,Gro,83,Ñuu Savi,12083
12,Guerrero,Gro,84,Santa Cruz del Rincón,12084
12,Guerrero,Gro,85,San Nicolás,12085
13,Hidalgo,Hgo,1,Acatlán,13001
13,Hidalgo,Hgo,2,Acaxochitlán,13002
13,Hidalgo,Hgo,3,Actopan,13003
13,Hidalgo,Hgo,4,Agua Blanca de Iturbide,13004
13,Hidalgo,Hgo,5,Ajacuba,13005
13,Hidalgo,Hgo,6,Alfajayucan,13006
13,Hidalgo,Hgo,7,Almoloya,13007
13,Hidalgo,Hgo,8,Apan,13008
13,Hidalgo,Hgo,9,El Arenal,13009
13,Hidalgo,Hgo,10,Atitalaquia,13010
13,Hidalgo,Hgo,11,Atlapexco,13011
13,Hidalgo,Hgo,12,Atotonilco el Grande,13012
13,Hidalgo,Hgo,13,Atotonilco de Tula,13013
13,Hidalgo,Hgo,14,Calnali,13014
13,Hidalgo,Hgo,15,Cardonal,13015
13,Hidalgo,Hgo,16,Cuautepec de Hinojosa,13016
13,Hidalgo,Hgo,17,Chapantongo,13017
13,Hidalgo,Hgo,18,Chapulhuacán,13018
13,Hidalgo,Hgo,19,Chilcuautla,13019
13,Hidalgo,Hgo,20,Eloxochitlán,13020
13,Hidalgo,Hgo,21,Emiliano Zapata,13021
13,Hidalgo,Hgo,22,Epazoyucan,13022
13,Hidalgo,Hgo,23,Francisco I. Madero,13023
13,Hidalgo,Hgo,24,Huasca de Ocampo,13024
13,Hidalgo,Hgo,25,Huautla,13025
13,Hidalgo,Hgo,26,Huazalingo,13026
13,Hidalgo,Hgo,27,Huehuetla,13027
13,Hidalgo,Hgo,28,Huejutla de Reyes,13028
13,Hidalgo,Hgo,29,Huichapan,13029
13,Hidalgo,Hgo,30,Ixmiquilpan,13030
13,Hidalgo,Hgo,31,Jacala de Ledezma,13031
13,Hidalgo,Hgo,32,Jaltocán,13032
13,Hidalgo,Hgo,33,Juárez Hidalgo,13033
13,Hidalgo,Hgo,34,Lolotla,13034
13,Hidalgo,Hgo,35,Metepec,13035
13,Hidalgo,Hgo,36,San Agustín Metzquititlán,13036
13,Hidalgo,Hgo,37,Metztitlán,13037
13,Hidalgo,Hgo,38,Mineral del Chico,13038
13,Hidalgo,Hgo,39,Mineral del Monte,13039
