"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2015,1,1,0
2016,1,1,0
2017,1,1,0
2018,1,1,0
2019,1,1,0
2020,1,1,1
2021,1,1,2
2022,1,1,2
2015,2,1,0
2016,2,1,0
2017,2,1,0
2018,2,1,0
2019,2,1,1
2020,2,1,0
2021,2,1,1
2022,2,1,2
2015,3,1,0
2016,3,1,0
2017,3,1,0
2018,3,1,0
2019,3,1,0
2020,3,1,0
2021,3,1,1
2022,3,1,1
2015,4,1,0
2016,4,1,0
2017,4,1,0
2018,4,1,1
2019,4,1,0
2020,4,1,0
2021,4,1,1
2022,4,1,0
2015,5,1,0
2016,5,1,0
2017,5,1,0
2018,5,1,0
2019,5,1,0
2020,5,1,0
2021,5,1,0
2022,5,1,0
2015,6,1,0
2016,6,1,0
2017,6,1,0
2018,6,1,0
2019,6,1,0
2020,6,1,0
2021,6,1,0
2022,6,1,2
2015,7,1,0
2016,7,1,0
2017,7,1,0
2018,7,1,0
2019,7,1,1
2020,7,1,0
2021,7,1,1
2015,8,1,0
2016,8,1,0
2017,8,1,0
2018,8,1,2
2019,8,1,1
2020,8,1,0
2021,8,1,0
2015,9,1,0
2016,9,1,0
2017,9,1,0
2018,9,1,0
2019,9,1,1
2020,9,1,0
2021,9,1,1
2015,10,1,0
2016,10,1,0
2017,10,1,0
2018,10,1,0
2019,10,1,0
2020,10,1,1
2021,10,1,1
2015,11,1,0
2016,11,1,0
2017,11,1,0
2018,11,1,1
2019,11,1,0
2020,11,1,1
2021,11,1,1
2015,12,1,0
2016,12,1,0
2017,12,1,0
2018,12,1,0
2019,12,1,1
2020,12,1,0
2021,12,1,0
2015,1,2,0
2016,1,2,0
2017,1,2,0
2018,1,2,1
2019,1,2,1
2020,1,2,2
2021,1,2,3
2022,1,2,2
2015,2,2,0
2016,2,2,0
2017,2,2,0
2018,2,2,2
2019,2,2,1
2020,2,2,6
2021,2,2,1
2022,2,2,4
2015,3,2,3
2016,3,2,1
2017,3,2,1
2018,3,2,0
2019,3,2,2
2020,3,2,1
2021,3,2,1
2022,3,2,3
2015,4,2,2
2016,4,2,3
2017,4,2,2
2018,4,2,2
2019,4,2,0
2020,4,2,2
2021,4,2,0
2022,4,2,2
2015,5,2,0
2016,5,2,0
2017,5,2,1
2018,5,2,0
2019,5,2,5
2020,5,2,4
2021,5,2,1
2022,5,2,1
2015,6,2,1
2016,6,2,1
2017,6,2,0
2018,6,2,4
2019,6,2,4
2020,6,2,5
2021,6,2,1
2022,6,2,2
2015,7,2,0
2016,7,2,1
2017,7,2,1
2018,7,2,2
2019,7,2,3
2020,7,2,3
2021,7,2,5
2015,8,2,2
2016,8,2,0
2017,8,2,0
2018,8,2,2
2019,8,2,1
2020,8,2,2
2021,8,2,3
2015,9,2,0
2016,9,2,2
2017,9,2,0
2018,9,2,4
2019,9,2,1
2020,9,2,3
2021,9,2,1
2015,10,2,1
2016,10,2,1
2017,10,2,4
2018,10,2,6
2019,10,2,4
2020,10,2,1
2021,10,2,0
2015,11,2,0
2016,11,2,2
2017,11,2,1
2018,11,2,0
2019,11,2,0
2020,11,2,1
2021,11,2,2
2015,12,2,1
2016,12,2,1
2017,12,2,1
